0.000000000000000000e+00,-7.351049125306529675e+01,2.076311066168268628e-04
1.000000000000000056e-01,-7.351056330623737267e+01,2.076284289068395812e-04
2.000000000000000111e-01,-7.351063529879782266e+01,2.076257638396629803e-04
3.000000000000000444e-01,-7.351070721295707244e+01,2.076231107775396894e-04
4.000000000000000222e-01,-7.351077912711633644e+01,2.076204577154164255e-04
5.000000000000000000e-01,-7.351085101630344809e+01,2.076178058797918007e-04
6.000000000000000888e-01,-7.351092250261665129e+01,2.076151738311792113e-04
7.000000000000000666e-01,-7.351099398892986869e+01,2.076125417825665947e-04
8.000000000000000444e-01,-7.351106547524308610e+01,2.076099097339540052e-04
9.000000000000000222e-01,-7.351113696155628929e+01,2.076072776853413887e-04
1.000000000000000000e+00,-7.351120844786950670e+01,2.076046456367287721e-04
1.100000000000000089e+00,-7.351127993418270989e+01,2.076020135881161827e-04
1.200000000000000178e+00,-7.351135142049592730e+01,2.075993815395035661e-04
1.300000000000000044e+00,-7.351142290680913050e+01,2.075967494908909495e-04
1.400000000000000133e+00,-7.351149439312234790e+01,2.075941174422783601e-04
1.500000000000000000e+00,-7.351156587943556531e+01,2.075914853936657435e-04
1.600000000000000089e+00,-7.351163736574876850e+01,2.075888533450531541e-04
1.700000000000000178e+00,-7.351170885206198591e+01,2.075862212964405375e-04
1.800000000000000044e+00,-7.351178033837518910e+01,2.075835892478279209e-04
1.900000000000000133e+00,-7.351185182468840651e+01,2.075809571992153315e-04
2.000000000000000000e+00,-7.351192331100162392e+01,2.075783251506027149e-04
2.100000000000000089e+00,-7.351199375272699399e+01,2.075757285627510536e-04
2.200000000000000178e+00,-7.351206324669773551e+01,2.075731641484498914e-04
2.300000000000000266e+00,-7.351213274066849124e+01,2.075705997341487021e-04
2.400000000000000355e+00,-7.351220223463923276e+01,2.075680353198475128e-04
2.500000000000000000e+00,-7.351227172860998849e+01,2.075654709055463234e-04
2.600000000000000089e+00,-7.351234122258074422e+01,2.075629064912451341e-04
2.700000000000000178e+00,-7.351241071655148573e+01,2.075603420769439719e-04
2.800000000000000266e+00,-7.351248021052224146e+01,2.075577776626427826e-04
2.900000000000000355e+00,-7.351254970449298298e+01,2.075552132483415933e-04
